
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    11657
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2108
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2108
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1569
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  65 3.0669690e-001 1.47e-001 9.05e+002 -10.4 2.61e-001    -  1.55e-001 1.03e-003h  1
  66 3.0625812e-001 1.46e-001 9.26e+002 -10.4 9.69e-002    -  1.01e-002 3.39e-003h  1
  67 3.0581138e-001 1.46e-001 1.39e+003 -10.4 3.00e-001    -  1.33e-001 1.36e-003h  1
  68 3.0579175e-001 1.46e-001 1.40e+003 -10.5 2.97e-001    -  4.86e-003 6.58e-005h  1
  69 3.0855554e-001 1.47e-001 1.40e+003  -4.6 9.60e+000    -  5.27e-005 7.43e-004f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 3.0471791e-001 6.50e-001 1.39e+003  -4.6 1.01e+001    -  7.34e-004 6.53e-003h  2
  71 2.8294137e-001 4.93e-001 1.08e+003  -4.5 3.20e-001    -  5.05e-001 2.43e-001h  1
  72 2.8623017e-001 1.36e-001 2.69e+002  -4.5 5.42e-002    -  5.26e-001 7.74e-001h  1
  73 2.7876087e-001 7.09e-002 5.84e+002  -4.3 3.79e-002    -  4.47e-001 6.43e-001h  1
  74 3.4317567e-001 4.76e-001 8.62e+000  -4.1 9.39e-002    -  1.00e+000 1.00e+000h  1
  75 3.4485666e-001 2.20e-001 8.35e+001  -4.2 6.71e-002    -  5.91e-001 5.33e-001H  1
  76 3.2278972e-001 6.40e-002 1.23e+001  -4.2 4.90e-002    -  1.00e+000 1.00e+000h  1
  77 3.1210649e-001 7.25e-002 6.97e+000  -4.2 2.32e-002    -  1.00e+000 9.79e-001h  1
  78 4.5391074e-001 5.77e-001 9.67e+000  -3.7 1.66e-001    -  1.00e+000 1.00e+000h  1
  79 4.6510282e-001 4.35e-001 6.50e+002  -3.8 1.25e-001    -  4.60e-001 2.50e-001h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 5.2082552e-001 2.70e-001 8.60e+002  -3.8 3.49e-002    -  4.85e-001 1.00e+000h  1
  81 4.5654043e-001 1.17e-001 2.77e+000  -3.8 3.65e-002    -  1.00e+000 8.51e-001h  1
  82 4.6436413e-001 3.49e-001 4.86e+000  -3.8 5.98e-002    -  4.98e-001 4.67e-001h  2
  83 4.4997176e-001 1.31e-001 3.99e+000  -3.8 3.59e-002    -  1.00e+000 1.00e+000h  1
  84 3.7315118e-001 1.99e-001 8.60e+000  -4.1 1.06e-001    -  1.00e+000 1.00e+000h  1
  85 3.4993116e-001 1.42e-001 8.99e+000  -4.1 1.08e-001    -  2.88e-001 2.83e-001H  1
  86 3.3529682e-001 1.37e-001 1.58e+001  -4.1 7.56e-002    -  6.21e-001 6.11e-001h  1
  87 3.3237791e-001 5.14e-002 9.12e+001  -4.1 1.57e-002    -  1.00e+000 8.11e-001h  1
  88 3.3839440e-001 3.12e-002 2.33e+000  -4.1 1.16e-002    -  1.00e+000 1.00e+000h  1
  89 3.2502185e-001 3.83e-002 4.40e+002  -4.3 6.58e-002    -  6.55e-001 4.12e-001H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 2.9885638e-001 6.77e-002 5.07e+002  -4.3 9.61e-002    -  8.22e-001 5.56e-001h  1
  91 2.8664444e-001 6.56e-002 1.19e+003  -4.4 9.90e-002    -  8.67e-001 2.25e-001H  1
  92 2.7555655e-001 8.02e-002 7.29e+002  -4.5 5.69e-002    -  7.02e-001 5.00e-001h  2
  93 2.7355412e-001 7.54e-002 9.51e+002  -4.5 4.79e-002    -  4.84e-001 6.01e-002H  1
  94 3.1712857e-001 2.31e-001 5.04e+000  -4.2 7.19e-002    -  1.00e+000 1.00e+000h  1
